method,compression_ratio,avg_cosine,top5_recall,mse,inner_product_error
rotation_pq_m32_k64_l2norm,10.457516,0.688924,0.632,0.00162,0.064134
pq_m32_k64_l2norm,10.457516,0.692852,0.613,0.0016,0.062649
pq_m32_k32_l2norm,18.860511,0.650852,0.5795,0.001818,0.075341
rotation_pq_m32_k32_l2norm,18.860511,0.647675,0.57025,0.001835,0.075408
rotation_pq_m16_k64_l2norm,11.3879,0.5843,0.50625,0.002165,0.093478
pq_m16_k64_l2norm,11.3879,0.586466,0.4945,0.002154,0.092468
rotation_pq_m16_k32_l2norm,21.50056,0.550343,0.4665,0.002342,0.114461
pq_m16_k32_l2norm,21.50056,0.550993,0.4485,0.002339,0.113803
pq_m8_k64_l2norm,11.918063,0.527832,0.42225,0.002459,0.123379
rotation_pq_m8_k64_l2norm,11.918063,0.526039,0.4095,0.002469,0.122438
pq_m8_k32_l2norm,23.118603,0.497046,0.3605,0.00262,0.148468
rotation_pq_m8_k32_l2norm,23.118603,0.494099,0.34825,0.002635,0.149116
