method_a,method_b,metric,heldout_query_count,bootstrap_resamples,point_delta,ci_low_95,ci_high_95,ci_excludes_zero
compact_8bit_m16_top50,base_ivfpq_m32,recall_at_10,528,10000,0.044778958415322055,0.031041799898333985,0.059757221156368875,True
compact_8bit_m16_top50,base_ivfpq_m32,mrr_at_10,528,10000,0.0446150493025493,0.02559418590668586,0.06401280287999038,True
compact_8bit_m16_top50,base_ivfpq_m32,ndcg_at_10,528,10000,0.043952132637894895,0.0316282197385256,0.05684450231975856,True
compact_8bit_m16_top50,legacy_residual_pq_16b_top50,recall_at_10,528,10000,0.015995589006952644,0.0036545907533123093,0.02894246851633215,True
compact_8bit_m16_top50,legacy_residual_pq_16b_top50,mrr_at_10,528,10000,0.016425414862914864,-0.0018665824915825146,0.03487332401394899,False
compact_8bit_m16_top50,legacy_residual_pq_16b_top50,ndcg_at_10,528,10000,0.01571159468016731,0.004401618463229637,0.02727741081920981,True
uniform_ivfpq_m48,compact_8bit_m16_top50,recall_at_10,528,10000,0.010082972582972584,-0.008145010371572847,0.02862345553751803,False
uniform_ivfpq_m48,compact_8bit_m16_top50,mrr_at_10,528,10000,0.015240951178451178,-0.00801343043530542,0.03842622655122654,False
uniform_ivfpq_m48,compact_8bit_m16_top50,ndcg_at_10,528,10000,0.010743928275977805,-0.003716627381712349,0.025890392768053706,False
compact_4bit_m32_top50,base_ivfpq_m32,recall_at_10,528,10000,0.04204770923520924,0.026057336760461746,0.05860423430735935,True
compact_4bit_m32_top50,base_ivfpq_m32,mrr_at_10,528,10000,0.04987448893698894,0.03210516624579125,0.06822428150553146,True
compact_4bit_m32_top50,base_ivfpq_m32,ndcg_at_10,528,10000,0.0408962668009193,0.029634649810221965,0.05295341037579543,True
compact_4bit_m32_top50,compact_8bit_m16_top50,recall_at_10,528,10000,-0.0027312491801128173,-0.01766790264659588,0.012264118457300244,False
compact_4bit_m32_top50,compact_8bit_m16_top50,mrr_at_10,528,10000,0.005259439634439636,-0.013741112764550228,0.02459005982443475,False
compact_4bit_m32_top50,compact_8bit_m16_top50,ndcg_at_10,528,10000,-0.00305586583697559,-0.01518711258135848,0.009478381319477237,False
uniform_ivfpq_m48,compact_4bit_m32_top50,recall_at_10,528,10000,0.012814221763085401,-0.005957003066378075,0.031991439352945045,False
uniform_ivfpq_m48,compact_4bit_m32_top50,mrr_at_10,528,10000,0.009981511544011544,-0.013409560636123124,0.0324287330146705,False
uniform_ivfpq_m48,compact_4bit_m32_top50,ndcg_at_10,528,10000,0.013799794112953392,-0.0015180127190780929,0.028818028854951928,False
