qid,contrast,metric,full_mean_difference,leave_one_out_mean_difference,removed_query_difference
156493,rars_minus_pca,recall@10,-0.018124600267457408,-0.01856666368861491,0.0
1110199,rars_minus_pca,recall@10,-0.018124600267457408,-0.01856666368861491,0.0
1063750,rars_minus_pca,recall@10,-0.018124600267457408,-0.01856666368861491,0.0
130510,rars_minus_pca,recall@10,-0.018124600267457408,-0.01856666368861491,0.0
489204,rars_minus_pca,recall@10,-0.018124600267457408,-0.01856666368861491,0.0
573724,rars_minus_pca,recall@10,-0.018124600267457408,-0.01856666368861491,0.0
168216,rars_minus_pca,recall@10,-0.018124600267457408,-0.01924417046368266,0.02777777777777779
1133167,rars_minus_pca,recall@10,-0.018124600267457408,-0.01856666368861491,0.0
527433,rars_minus_pca,recall@10,-0.018124600267457408,-0.01856666368861491,0.0
1037798,rars_minus_pca,recall@10,-0.018124600267457408,-0.01856666368861491,0.0
915593,rars_minus_pca,recall@10,-0.018124600267457408,-0.01856666368861491,0.0
264014,rars_minus_pca,recall@10,-0.018124600267457408,-0.01856666368861491,0.0
1121402,rars_minus_pca,recall@10,-0.018124600267457408,-0.01856666368861491,0.0
962179,rars_minus_pca,recall@10,-0.018124600267457408,0.005823580213824117,-1.0
1117099,rars_minus_pca,recall@10,-0.018124600267457408,-0.01856666368861491,0.0
148538,rars_minus_pca,recall@10,-0.018124600267457408,-0.015082343131123617,-0.1428571428571429
451602,rars_minus_pca,recall@10,-0.018124600267457408,-0.01856666368861491,0.0
359349,rars_minus_pca,recall@10,-0.018124600267457408,-0.01856666368861491,0.0
1115776,rars_minus_pca,recall@10,-0.018124600267457408,-0.01856666368861491,0.0
1112341,rars_minus_pca,recall@10,-0.018124600267457408,-0.02231900890437476,0.1538461538461539
131843,rars_minus_pca,recall@10,-0.018124600267457408,-0.01856666368861491,0.0
104861,rars_minus_pca,recall@10,-0.018124600267457408,-0.01856666368861491,0.0
833860,rars_minus_pca,recall@10,-0.018124600267457408,-0.01856666368861491,0.0
207786,rars_minus_pca,recall@10,-0.018124600267457408,-0.01856666368861491,0.0
1114819,rars_minus_pca,recall@10,-0.018124600267457408,-0.01856666368861491,0.0
183378,rars_minus_pca,recall@10,-0.018124600267457408,-0.01856666368861491,0.0
1106007,rars_minus_pca,recall@10,-0.018124600267457408,-0.01856666368861491,0.0
1124210,rars_minus_pca,recall@10,-0.018124600267457408,-0.01856666368861491,0.0
490595,rars_minus_pca,recall@10,-0.018124600267457408,-0.01856666368861491,0.0
1103812,rars_minus_pca,recall@10,-0.018124600267457408,-0.01856666368861491,0.0
87181,rars_minus_pca,recall@10,-0.018124600267457408,-0.01856666368861491,0.0
443396,rars_minus_pca,recall@10,-0.018124600267457408,-0.01856666368861491,0.0
87452,rars_minus_pca,recall@10,-0.018124600267457408,-0.02344471246910271,0.19999999999999996
855410,rars_minus_pca,recall@10,-0.018124600267457408,-0.01856666368861491,0.0
1114646,rars_minus_pca,recall@10,-0.018124600267457408,-0.01856666368861491,0.0
19335,rars_minus_pca,recall@10,-0.018124600267457408,-0.01856666368861491,0.0
47923,rars_minus_pca,recall@10,-0.018124600267457408,-0.01856666368861491,0.0
405717,rars_minus_pca,recall@10,-0.018124600267457408,-0.01856666368861491,0.0
182539,rars_minus_pca,recall@10,-0.018124600267457408,-0.01856666368861491,0.0
1113437,rars_minus_pca,recall@10,-0.018124600267457408,-0.01856666368861491,0.0
1129237,rars_minus_pca,recall@10,-0.018124600267457408,-0.01856666368861491,0.0
146187,rars_minus_pca,recall@10,-0.018124600267457408,-0.01856666368861491,0.0
156493,rars_minus_pca,success@10,-0.023809523809523808,-0.024390243902439025,0.0
1110199,rars_minus_pca,success@10,-0.023809523809523808,-0.024390243902439025,0.0
1063750,rars_minus_pca,success@10,-0.023809523809523808,-0.024390243902439025,0.0
130510,rars_minus_pca,success@10,-0.023809523809523808,-0.024390243902439025,0.0
489204,rars_minus_pca,success@10,-0.023809523809523808,-0.024390243902439025,0.0
573724,rars_minus_pca,success@10,-0.023809523809523808,-0.024390243902439025,0.0
168216,rars_minus_pca,success@10,-0.023809523809523808,-0.024390243902439025,0.0
1133167,rars_minus_pca,success@10,-0.023809523809523808,-0.024390243902439025,0.0
527433,rars_minus_pca,success@10,-0.023809523809523808,-0.024390243902439025,0.0
1037798,rars_minus_pca,success@10,-0.023809523809523808,-0.024390243902439025,0.0
915593,rars_minus_pca,success@10,-0.023809523809523808,-0.024390243902439025,0.0
264014,rars_minus_pca,success@10,-0.023809523809523808,-0.024390243902439025,0.0
1121402,rars_minus_pca,success@10,-0.023809523809523808,-0.024390243902439025,0.0
962179,rars_minus_pca,success@10,-0.023809523809523808,0.0,-1.0
1117099,rars_minus_pca,success@10,-0.023809523809523808,-0.024390243902439025,0.0
148538,rars_minus_pca,success@10,-0.023809523809523808,-0.024390243902439025,0.0
451602,rars_minus_pca,success@10,-0.023809523809523808,-0.024390243902439025,0.0
359349,rars_minus_pca,success@10,-0.023809523809523808,-0.024390243902439025,0.0
1115776,rars_minus_pca,success@10,-0.023809523809523808,-0.024390243902439025,0.0
1112341,rars_minus_pca,success@10,-0.023809523809523808,-0.024390243902439025,0.0
131843,rars_minus_pca,success@10,-0.023809523809523808,-0.024390243902439025,0.0
104861,rars_minus_pca,success@10,-0.023809523809523808,-0.024390243902439025,0.0
833860,rars_minus_pca,success@10,-0.023809523809523808,-0.024390243902439025,0.0
207786,rars_minus_pca,success@10,-0.023809523809523808,-0.024390243902439025,0.0
1114819,rars_minus_pca,success@10,-0.023809523809523808,-0.024390243902439025,0.0
183378,rars_minus_pca,success@10,-0.023809523809523808,-0.024390243902439025,0.0
1106007,rars_minus_pca,success@10,-0.023809523809523808,-0.024390243902439025,0.0
1124210,rars_minus_pca,success@10,-0.023809523809523808,-0.024390243902439025,0.0
490595,rars_minus_pca,success@10,-0.023809523809523808,-0.024390243902439025,0.0
1103812,rars_minus_pca,success@10,-0.023809523809523808,-0.024390243902439025,0.0
87181,rars_minus_pca,success@10,-0.023809523809523808,-0.024390243902439025,0.0
443396,rars_minus_pca,success@10,-0.023809523809523808,-0.024390243902439025,0.0
87452,rars_minus_pca,success@10,-0.023809523809523808,-0.024390243902439025,0.0
855410,rars_minus_pca,success@10,-0.023809523809523808,-0.024390243902439025,0.0
1114646,rars_minus_pca,success@10,-0.023809523809523808,-0.024390243902439025,0.0
19335,rars_minus_pca,success@10,-0.023809523809523808,-0.024390243902439025,0.0
47923,rars_minus_pca,success@10,-0.023809523809523808,-0.024390243902439025,0.0
405717,rars_minus_pca,success@10,-0.023809523809523808,-0.024390243902439025,0.0
182539,rars_minus_pca,success@10,-0.023809523809523808,-0.024390243902439025,0.0
1113437,rars_minus_pca,success@10,-0.023809523809523808,-0.024390243902439025,0.0
1129237,rars_minus_pca,success@10,-0.023809523809523808,-0.024390243902439025,0.0
146187,rars_minus_pca,success@10,-0.023809523809523808,-0.024390243902439025,0.0
156493,rars_minus_pca,mrr@10,0.024801587301587304,0.025406504065040653,0.0
1110199,rars_minus_pca,mrr@10,0.024801587301587304,0.025406504065040653,0.0
1063750,rars_minus_pca,mrr@10,0.024801587301587304,0.025406504065040653,0.0
130510,rars_minus_pca,mrr@10,0.024801587301587304,0.025406504065040653,0.0
489204,rars_minus_pca,mrr@10,0.024801587301587304,0.025406504065040653,0.0
573724,rars_minus_pca,mrr@10,0.024801587301587304,0.025406504065040653,0.0
168216,rars_minus_pca,mrr@10,0.024801587301587304,0.025406504065040653,0.0
1133167,rars_minus_pca,mrr@10,0.024801587301587304,0.025406504065040653,0.0
527433,rars_minus_pca,mrr@10,0.024801587301587304,0.025406504065040653,0.0
1037798,rars_minus_pca,mrr@10,0.024801587301587304,0.025406504065040653,0.0
915593,rars_minus_pca,mrr@10,0.024801587301587304,0.025406504065040653,0.0
264014,rars_minus_pca,mrr@10,0.024801587301587304,0.025406504065040653,0.0
1121402,rars_minus_pca,mrr@10,0.024801587301587304,0.025406504065040653,0.0
962179,rars_minus_pca,mrr@10,0.024801587301587304,0.02845528455284553,-0.125
1117099,rars_minus_pca,mrr@10,0.024801587301587304,0.025406504065040653,0.0
148538,rars_minus_pca,mrr@10,0.024801587301587304,0.025406504065040653,0.0
451602,rars_minus_pca,mrr@10,0.024801587301587304,0.009146341463414634,0.6666666666666667
359349,rars_minus_pca,mrr@10,0.024801587301587304,0.025406504065040653,0.0
1115776,rars_minus_pca,mrr@10,0.024801587301587304,0.025406504065040653,0.0
1112341,rars_minus_pca,mrr@10,0.024801587301587304,0.025406504065040653,0.0
131843,rars_minus_pca,mrr@10,0.024801587301587304,0.025406504065040653,0.0
104861,rars_minus_pca,mrr@10,0.024801587301587304,0.025406504065040653,0.0
833860,rars_minus_pca,mrr@10,0.024801587301587304,0.025406504065040653,0.0
207786,rars_minus_pca,mrr@10,0.024801587301587304,0.025406504065040653,0.0
1114819,rars_minus_pca,mrr@10,0.024801587301587304,0.025406504065040653,0.0
183378,rars_minus_pca,mrr@10,0.024801587301587304,0.025406504065040653,0.0
1106007,rars_minus_pca,mrr@10,0.024801587301587304,0.025406504065040653,0.0
1124210,rars_minus_pca,mrr@10,0.024801587301587304,0.025406504065040653,0.0
490595,rars_minus_pca,mrr@10,0.024801587301587304,0.025406504065040653,0.0
1103812,rars_minus_pca,mrr@10,0.024801587301587304,0.025406504065040653,0.0
87181,rars_minus_pca,mrr@10,0.024801587301587304,0.025406504065040653,0.0
443396,rars_minus_pca,mrr@10,0.024801587301587304,0.025406504065040653,0.0
87452,rars_minus_pca,mrr@10,0.024801587301587304,0.025406504065040653,0.0
855410,rars_minus_pca,mrr@10,0.024801587301587304,0.025406504065040653,0.0
1114646,rars_minus_pca,mrr@10,0.024801587301587304,0.025406504065040653,0.0
19335,rars_minus_pca,mrr@10,0.024801587301587304,0.01321138211382114,0.5
47923,rars_minus_pca,mrr@10,0.024801587301587304,0.025406504065040653,0.0
405717,rars_minus_pca,mrr@10,0.024801587301587304,0.025406504065040653,0.0
182539,rars_minus_pca,mrr@10,0.024801587301587304,0.025406504065040653,0.0
1113437,rars_minus_pca,mrr@10,0.024801587301587304,0.025406504065040653,0.0
1129237,rars_minus_pca,mrr@10,0.024801587301587304,0.025406504065040653,0.0
146187,rars_minus_pca,mrr@10,0.024801587301587304,0.025406504065040653,0.0
