qid,base_m32_recall@10,base_m32_success@10,base_m32_mrr@10,base_m32_ndcg@10,pca_r16_int8_recall@10,pca_r16_int8_success@10,pca_r16_int8_mrr@10,pca_r16_int8_ndcg@10,rars_r16_int8_recall@10,rars_r16_int8_success@10,rars_r16_int8_mrr@10,rars_r16_int8_ndcg@10
156493,0.4444444444444444,1.0,1.0,0.8630152897016882,0.4444444444444444,1.0,1.0,0.866947989864271,0.4444444444444444,1.0,1.0,0.8572048559638626
1110199,0.6666666666666666,1.0,1.0,0.8432259314253568,0.5,1.0,1.0,0.6889109194842843,0.5,1.0,1.0,0.6889109194842843
1063750,0.15384615384615385,1.0,1.0,0.6987957033953602,0.20512820512820512,1.0,1.0,0.8482378089219647,0.20512820512820512,1.0,1.0,0.8482378089219647
130510,0.8,1.0,1.0,0.7646944921510597,0.6,1.0,1.0,0.7073371794979774,0.6,1.0,1.0,0.7073371794979774
489204,0.4,1.0,1.0,0.5146124363672937,0.4,1.0,1.0,0.7029907106179011,0.4,1.0,1.0,0.6977709637817419
573724,0.6666666666666666,1.0,1.0,0.7439210898998881,0.6666666666666666,1.0,1.0,0.7559822853718005,0.6666666666666666,1.0,1.0,0.7439210898998881
168216,0.16666666666666666,1.0,1.0,0.677966795750161,0.16666666666666666,1.0,1.0,0.677966795750161,0.19444444444444445,1.0,1.0,0.7028159857295806
1133167,0.2727272727272727,1.0,1.0,0.9305687780632227,0.30303030303030304,1.0,1.0,1.0,0.30303030303030304,1.0,1.0,1.0
527433,0.45454545454545453,1.0,1.0,0.645413416735452,0.5454545454545454,1.0,1.0,0.6655562743721781,0.5454545454545454,1.0,1.0,0.6616539327382528
1037798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
915593,0.13333333333333333,1.0,1.0,0.1436806014781235,0.2,1.0,1.0,0.2681057515149304,0.2,1.0,1.0,0.2681057515149304
264014,0.37037037037037035,1.0,1.0,0.8319592741952931,0.37037037037037035,1.0,1.0,0.8275366187032203,0.37037037037037035,1.0,1.0,0.8275366187032203
1121402,0.375,1.0,0.3333333333333333,0.30098053211416936,0.375,1.0,0.5,0.3913151799822054,0.375,1.0,0.5,0.3913151799822054
962179,1.0,1.0,0.3333333333333333,0.5,1.0,1.0,0.125,0.31546487678572877,0.0,0.0,0.0,0.0
1117099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148538,0.42857142857142855,1.0,0.5,0.25971322819758136,0.5714285714285714,1.0,0.5,0.3078147512765996,0.42857142857142855,1.0,0.5,0.2565439380786204
451602,0.058823529411764705,1.0,0.3333333333333333,0.13635042492339464,0.11764705882352941,1.0,0.3333333333333333,0.2184415605703376,0.11764705882352941,1.0,1.0,0.35872838984307015
359349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1115776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1112341,0.15384615384615385,1.0,1.0,0.2602071281170199,0.15384615384615385,1.0,1.0,0.2661209264833158,0.3076923076923077,1.0,1.0,0.30562519113278347
131843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104861,0.35,1.0,1.0,0.7753366239771086,0.25,1.0,1.0,0.6300426811446146,0.25,1.0,1.0,0.6274092458891772
833860,0.375,1.0,0.5,0.3607319401902098,0.5,1.0,1.0,0.5816200371279562,0.5,1.0,1.0,0.5653203231254091
207786,0.3333333333333333,1.0,1.0,0.43817532096861983,0.16666666666666666,1.0,1.0,0.39648315146087865,0.16666666666666666,1.0,1.0,0.39648315146087865
1114819,0.21621621621621623,1.0,1.0,0.6500852126823219,0.24324324324324326,1.0,1.0,0.7758841849550664,0.24324324324324326,1.0,1.0,0.7784789636421007
183378,0.13793103448275862,1.0,1.0,0.4598181682631186,0.1724137931034483,1.0,1.0,0.5595616648195818,0.1724137931034483,1.0,1.0,0.5505946177776837
1106007,0.5714285714285714,1.0,1.0,0.5771056508321654,0.5714285714285714,1.0,1.0,0.5853011007339132,0.5714285714285714,1.0,1.0,0.589515241524603
1124210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
