method_a,method_b,metric,heldout_query_count,bootstrap_resamples,point_delta,ci_low_95,ci_high_95,ci_excludes_zero
residual_pq_8b_reconstruction_error_top50,base_ivfpq_m32,recall_at_10,528,10000,0.02619806014692378,0.014259462522956842,0.0389063678587827,True
residual_pq_8b_reconstruction_error_top50,base_ivfpq_m32,mrr_at_10,528,10000,0.028173851611351608,0.013927876232563651,0.042890249218374144,True
residual_pq_8b_reconstruction_error_top50,base_ivfpq_m32,ndcg_at_10,528,10000,0.025129951867195428,0.016238395722343802,0.03451240044372582,True
residual_pq_16b_reconstruction_error_top50,base_ivfpq_m32,recall_at_10,528,10000,0.028783369408369407,0.018235818001442985,0.040151853354978305,True
residual_pq_16b_reconstruction_error_top50,base_ivfpq_m32,mrr_at_10,528,10000,0.028189634439634438,0.015334502014189495,0.042294992334054815,True
residual_pq_16b_reconstruction_error_top50,base_ivfpq_m32,ndcg_at_10,528,10000,0.028240537957727577,0.018759340766483508,0.0381661391591646,True
residual_pq_32b_reconstruction_error_top50,base_ivfpq_m32,recall_at_10,528,10000,0.00762536075036075,0.0002884875541125488,0.015616319444444488,True
residual_pq_32b_reconstruction_error_top50,base_ivfpq_m32,mrr_at_10,528,10000,0.012635281385281385,0.0013977009680134684,0.024698679503367016,True
residual_pq_32b_reconstruction_error_top50,base_ivfpq_m32,ndcg_at_10,528,10000,0.01106932896073158,0.00346646398100558,0.019395264819270865,True
residual_pq_16b_reconstruction_error_top50,residual_pq_8b_reconstruction_error_top50,recall_at_10,528,10000,0.002585309261445625,-0.010543785050177137,0.015629442763675727,False
residual_pq_16b_reconstruction_error_top50,residual_pq_8b_reconstruction_error_top50,mrr_at_10,528,10000,1.5782828282827385e-05,-0.015550651605339132,0.0151613418410294,False
residual_pq_16b_reconstruction_error_top50,residual_pq_8b_reconstruction_error_top50,ndcg_at_10,528,10000,0.003110586090532152,-0.007141848519309535,0.013404013222142817,False
residual_pq_16b_reconstruction_error_top50,residual_pq_32b_reconstruction_error_top50,recall_at_10,528,10000,0.021158008658008657,0.01010991612554114,0.032715886544011606,True
residual_pq_16b_reconstruction_error_top50,residual_pq_32b_reconstruction_error_top50,mrr_at_10,528,10000,0.015554353054353057,0.0010820819805195268,0.03081867784992786,True
residual_pq_16b_reconstruction_error_top50,residual_pq_32b_reconstruction_error_top50,ndcg_at_10,528,10000,0.017171208996996,0.007081266396136362,0.027588927551587566,True
uniform_ivfpq_m48,residual_pq_16b_reconstruction_error_top50,recall_at_10,528,10000,0.026078561589925223,0.007131747671520479,0.04600156393480253,True
uniform_ivfpq_m48,residual_pq_16b_reconstruction_error_top50,mrr_at_10,528,10000,0.03166636604136604,0.0075272065897065725,0.055187214405964344,True
uniform_ivfpq_m48,residual_pq_16b_reconstruction_error_top50,ndcg_at_10,528,10000,0.026455522956145117,0.010517318888946109,0.04249568467469937,True
