method,method_key,M,serialized_index_bytes,external_transform_bytes,serialized_total_bytes,serialized_compression_x,analytical_code_bytes,analytical_code_compression_x,source_run
GPU IVF-PQ,ivfpq,24,38717620,0,46717620,33.04962881242666,24000000,64.0,pilot_m24_m48
Native Faiss OPQMatrix + GPU IVF-PQ,native_opq_ivfpq,24,38717620,589952,47307572,32.637481374017675,24000000,64.0,pilot_m24_m48
GPU IVF-PQ,ivfpq,32,46717620,0,54717620,28.217601569658914,32000000,48.0,full_m32_m64_m96
Native Faiss OPQMatrix + GPU IVF-PQ,native_opq_ivfpq,32,46717620,589952,55307572,27.916611490376038,32000000,48.0,full_m32_m64_m96
GPU IVF-PQ,ivfpq,48,62717620,0,70717620,21.833313960509418,48000000,32.0,pilot_m24_m48
Native Faiss OPQMatrix + GPU IVF-PQ,native_opq_ivfpq,48,62717620,589952,71307572,21.652679465793618,48000000,32.0,pilot_m24_m48
GPU IVF-PQ,ivfpq,64,78717620,0,86717620,17.804916693977532,64000000,24.0,full_m32_m64_m96
Native Faiss OPQMatrix + GPU IVF-PQ,native_opq_ivfpq,64,78717620,589952,87307572,17.684605866716808,64000000,24.0,full_m32_m64_m96
GPU IVF-PQ,ivfpq,96,110717620,0,118717620,13.005651562084887,96000000,16.0,full_m32_m64_m96
Native Faiss OPQMatrix + GPU IVF-PQ,native_opq_ivfpq,96,110717620,589952,119307572,12.941341225182255,96000000,16.0,full_m32_m64_m96
