method,method_key,M,subvector_dimension,nprobe,lookup_table_precision,index_vectors,build_seconds,recall_at_10,success_at_10,mrr_at_10,ndcg_at_10,p50_ms_per_query,p95_ms_per_query,qps,timed_queries,tail_queries_excluded,serialized_index_bytes,external_transform_bytes,serialized_total_bytes,serialized_compression_x,analytical_code_bytes,analytical_code_compression_x,pareto_quality_storage,pareto_quality_qps,source_run
GPU IVF-PQ,ivfpq,24,16.0,4,float16,1000000,9.87747505399966,0.5434216809933142,0.554297994269341,0.37220556465183974,0.409726140124054,0.007170765627506626,0.011425459373981518,56068.6677197613,6976,4,38717620,0,46717620,33.04962881242666,24000000,64.0,false,false,pilot_m24_m48
GPU IVF-PQ,ivfpq,24,16.0,16,float16,1000000,9.87747505399966,0.617562082139446,0.6289398280802292,0.4183291831536817,0.46228483682298666,0.01286354687124458,0.015779690627937264,71360.23544173597,6976,4,38717620,0,46717620,33.04962881242666,24000000,64.0,false,false,pilot_m24_m48
GPU IVF-PQ,ivfpq,24,16.0,32,float16,1000000,9.87747505399966,0.6371895893027698,0.6487106017191977,0.4288076477009141,0.47488348574839523,0.019764093750040956,0.032148740621096294,46386.14309591795,6976,4,38717620,0,46717620,33.04962881242666,24000000,64.0,false,false,pilot_m24_m48
GPU IVF-PQ,ivfpq,24,16.0,64,float16,1000000,9.87747505399966,0.6493672397325692,0.6610315186246418,0.4352901146131805,0.48269265235276937,0.03200959375249113,0.03418283125142807,32170.014542129473,6976,4,38717620,0,46717620,33.04962881242666,24000000,64.0,true,false,pilot_m24_m48
Native Faiss OPQMatrix + GPU IVF-PQ,native_opq_ivfpq,24,16.0,4,float16,1000000,550.8513594149999,0.5573304680038205,0.5683381088825215,0.38841298267157864,0.4255352281021133,0.006051421877373286,0.008119331243960914,145264.17851210575,6976,4,38717620,589952,47307572,32.637481374017675,24000000,64.0,false,false,pilot_m24_m48
Native Faiss OPQMatrix + GPU IVF-PQ,native_opq_ivfpq,24,16.0,16,float16,1000000,550.8513594149999,0.6448185291308501,0.6560171919770774,0.4435789330058671,0.4884159720950161,0.01092462500196234,0.014776787492110078,84410.40596229269,6976,4,38717620,589952,47307572,32.637481374017675,24000000,64.0,false,false,pilot_m24_m48
Native Faiss OPQMatrix + GPU IVF-PQ,native_opq_ivfpq,24,16.0,32,float16,1000000,550.8513594149999,0.6708930276981854,0.6818051575931232,0.4585107108746077,0.5060064687165364,0.01681943750497794,0.02088307188330418,56783.241731045986,6976,4,38717620,589952,47307572,32.637481374017675,24000000,64.0,false,false,pilot_m24_m48
Native Faiss OPQMatrix + GPU IVF-PQ,native_opq_ivfpq,24,16.0,64,float16,1000000,550.8513594149999,0.6880133715377269,0.6991404011461319,0.4683063855914858,0.5174745113201092,0.027327453125280954,0.028860643757866455,35608.26831493906,6976,4,38717620,589952,47307572,32.637481374017675,24000000,64.0,true,false,pilot_m24_m48
GPU IVF-PQ,ivfpq,32,12.0,4,float16,1000000,10.324065283999516,0.5607808022922636,0.5717765042979943,0.39563224860144636,0.43171283459126775,0.006525828126768829,0.007634265625711123,64509.21562650263,6976,4,46717620,0,54717620,28.217601569658914,32000000,48.0,false,false,full_m32_m64_m96
GPU IVF-PQ,ivfpq,32,12.0,16,float16,1000000,10.324065283999516,0.6499641833810889,0.6613180515759313,0.45259215672897624,0.49631064082212856,0.01213454687842841,0.020132496868541235,74522.126329017,6976,4,46717620,0,54717620,28.217601569658914,32000000,48.0,false,false,full_m32_m64_m96
GPU IVF-PQ,ivfpq,32,12.0,32,float16,1000000,10.324065283999516,0.6768982808022923,0.6878223495702006,0.46713899122208574,0.5139221288885006,0.01847470312554833,0.02040864061996217,53141.32332824357,6976,4,46717620,0,54717620,28.217601569658914,32000000,48.0,false,false,full_m32_m64_m96
GPU IVF-PQ,ivfpq,32,12.0,64,float16,1000000,10.324065283999516,0.6957139446036295,0.7068767908309456,0.4776448583253741,0.5264136108020473,0.032076906251177206,0.03729972499968426,30404.227031481125,6976,4,46717620,0,54717620,28.217601569658914,32000000,48.0,true,false,full_m32_m64_m96
Native Faiss OPQMatrix + GPU IVF-PQ,native_opq_ivfpq,32,12.0,4,float16,1000000,863.0464335380002,0.571251193887297,0.5816618911174785,0.40984672761177054,0.44502961455454754,0.006222562490165728,0.007786393751985088,148233.98522122047,6976,4,46717620,589952,55307572,27.916611490376038,32000000,48.0,false,true,full_m32_m64_m96
Native Faiss OPQMatrix + GPU IVF-PQ,native_opq_ivfpq,32,12.0,16,float16,1000000,863.0464335380002,0.6683858643744031,0.6790830945558739,0.47274173375176237,0.5161080295425369,0.011246124998365303,0.013254625002900866,86237.42433555868,6976,4,46717620,589952,55307572,27.916611490376038,32000000,48.0,false,true,full_m32_m64_m96
Native Faiss OPQMatrix + GPU IVF-PQ,native_opq_ivfpq,32,12.0,32,float16,1000000,863.0464335380002,0.6991881566380134,0.7095988538681949,0.4915147587210624,0.5377475357113239,0.017630218749786764,0.01931501562921767,55933.581182627844,6976,4,46717620,589952,55307572,27.916611490376038,32000000,48.0,false,false,full_m32_m64_m96
Native Faiss OPQMatrix + GPU IVF-PQ,native_opq_ivfpq,32,12.0,64,float16,1000000,863.0464335380002,0.7226361031518624,0.7332378223495702,0.5049055691999819,0.5534767803955818,0.029156875001490334,0.030991518750056457,34112.80272526427,6976,4,46717620,589952,55307572,27.916611490376038,32000000,48.0,true,false,full_m32_m64_m96
GPU IVF-PQ,ivfpq,48,8.0,4,float16,1000000,12.557646105999993,0.5873567335243552,0.5979942693409742,0.42956354891526816,0.4639043523824851,0.0073271250045081615,0.010993596879416144,131838.05743880753,6976,4,62717620,0,70717620,21.833313960509418,48000000,32.0,false,false,pilot_m24_m48
GPU IVF-PQ,ivfpq,48,8.0,16,float16,1000000,12.557646105999993,0.6907473734479465,0.7011461318051576,0.497640196479738,0.5405480306547759,0.013453500002924557,0.01584035312305332,70851.0552331016,6976,4,62717620,0,70717620,21.833313960509418,48000000,32.0,false,true,pilot_m24_m48
GPU IVF-PQ,ivfpq,48,8.0,32,float16,1000000,12.557646105999993,0.7249164278892072,0.7346704871060172,0.5183789853095011,0.5646621216968357,0.02321351561818119,0.024829075002230635,43904.53558033466,6976,4,62717620,0,70717620,21.833313960509418,48000000,32.0,false,true,pilot_m24_m48
GPU IVF-PQ,ivfpq,48,8.0,64,float16,1000000,12.557646105999993,0.7489374403056351,0.7587392550143266,0.533693773593487,0.5819941032452368,0.04294953124883705,0.04576945937913024,23750.448508446683,6976,4,62717620,0,70717620,21.833313960509418,48000000,32.0,true,false,pilot_m24_m48
