method,method_key,M,subvector_dimension,nprobe,lookup_table_precision,index_vectors,build_seconds,recall_at_10,success_at_10,mrr_at_10,ndcg_at_10,p50_ms_per_query,p95_ms_per_query,qps,timed_queries,tail_queries_excluded,serialized_index_bytes,external_transform_bytes,serialized_total_bytes,serialized_compression_x,analytical_code_bytes,analytical_code_compression_x,pareto_quality_storage,pareto_quality_qps
GPU FlatIP,flatip,,,,float32,1000000,2.7747807839996312,0.8562917860553965,0.8641833810888252,0.6370044799199528,0.6870256121886157,0.41614920311872083,0.4298322374978625,2413.23456580621,6976,4,1536000000,0,1544000000,1.0,1536000000,1.0,False,False
GPU IVF-PQ,ivfpq,24.0,16.0,4.0,float16,1000000,9.87747505399966,0.5434216809933142,0.554297994269341,0.37220556465183974,0.409726140124054,0.007170765627506626,0.011425459373981518,56068.6677197613,6976,4,38717620,0,46717620,33.04962881242666,24000000,64.0,False,False
GPU IVF-PQ,ivfpq,24.0,16.0,16.0,float16,1000000,9.87747505399966,0.617562082139446,0.6289398280802292,0.4183291831536817,0.46228483682298666,0.01286354687124458,0.015779690627937264,71360.23544173597,6976,4,38717620,0,46717620,33.04962881242666,24000000,64.0,False,False
GPU IVF-PQ,ivfpq,24.0,16.0,32.0,float16,1000000,9.87747505399966,0.6371895893027698,0.6487106017191977,0.4288076477009141,0.47488348574839523,0.019764093750040956,0.032148740621096294,46386.14309591795,6976,4,38717620,0,46717620,33.04962881242666,24000000,64.0,False,False
GPU IVF-PQ,ivfpq,24.0,16.0,64.0,float16,1000000,9.87747505399966,0.6493672397325692,0.6610315186246418,0.4352901146131805,0.48269265235276937,0.03200959375249113,0.03418283125142807,32170.014542129473,6976,4,38717620,0,46717620,33.04962881242666,24000000,64.0,True,False
GPU IVF-PQ,ivfpq,48.0,8.0,4.0,float16,1000000,12.557646105999993,0.5873567335243552,0.5979942693409742,0.42956354891526816,0.4639043523824851,0.0073271250045081615,0.010993596879416144,131838.05743880753,6976,4,62717620,0,70717620,21.833313960509418,48000000,32.0,False,False
GPU IVF-PQ,ivfpq,48.0,8.0,16.0,float16,1000000,12.557646105999993,0.6907473734479465,0.7011461318051576,0.497640196479738,0.5405480306547759,0.013453500002924557,0.01584035312305332,70851.0552331016,6976,4,62717620,0,70717620,21.833313960509418,48000000,32.0,False,True
GPU IVF-PQ,ivfpq,48.0,8.0,32.0,float16,1000000,12.557646105999993,0.7249164278892072,0.7346704871060172,0.5183789853095011,0.5646621216968357,0.02321351561818119,0.024829075002230635,43904.53558033466,6976,4,62717620,0,70717620,21.833313960509418,48000000,32.0,False,True
GPU IVF-PQ,ivfpq,48.0,8.0,64.0,float16,1000000,12.557646105999993,0.7489374403056351,0.7587392550143266,0.533693773593487,0.5819941032452368,0.04294953124883705,0.04576945937913024,23750.448508446683,6976,4,62717620,0,70717620,21.833313960509418,48000000,32.0,True,False
Native Faiss OPQMatrix + GPU IVF-PQ,native_opq_ivfpq,24.0,16.0,4.0,float16,1000000,550.8513594149999,0.5573304680038205,0.5683381088825215,0.38841298267157864,0.4255352281021133,0.006051421877373286,0.008119331243960914,145264.17851210575,6976,4,38717620,589952,47307572,32.637481374017675,24000000,64.0,False,False
Native Faiss OPQMatrix + GPU IVF-PQ,native_opq_ivfpq,24.0,16.0,16.0,float16,1000000,550.8513594149999,0.6448185291308501,0.6560171919770774,0.4435789330058671,0.4884159720950161,0.01092462500196234,0.014776787492110078,84410.40596229269,6976,4,38717620,589952,47307572,32.637481374017675,24000000,64.0,False,True
Native Faiss OPQMatrix + GPU IVF-PQ,native_opq_ivfpq,24.0,16.0,32.0,float16,1000000,550.8513594149999,0.6708930276981854,0.6818051575931232,0.4585107108746077,0.5060064687165364,0.01681943750497794,0.02088307188330418,56783.241731045986,6976,4,38717620,589952,47307572,32.637481374017675,24000000,64.0,False,False
Native Faiss OPQMatrix + GPU IVF-PQ,native_opq_ivfpq,24.0,16.0,64.0,float16,1000000,550.8513594149999,0.6880133715377269,0.6991404011461319,0.4683063855914858,0.5174745113201092,0.027327453125280954,0.028860643757866455,35608.26831493906,6976,4,38717620,589952,47307572,32.637481374017675,24000000,64.0,True,False
Native Faiss OPQMatrix + GPU IVF-PQ,native_opq_ivfpq,48.0,8.0,4.0,float16,1000000,1162.6647588019996,0.5908667621776504,0.6008595988538682,0.43595516668940737,0.4694669372648645,0.0059402187559953745,0.007996121877340555,147351.8510917258,6976,4,62717620,589952,71307572,21.652679465793618,48000000,32.0,False,True
Native Faiss OPQMatrix + GPU IVF-PQ,native_opq_ivfpq,48.0,8.0,16.0,float16,1000000,1162.6647588019996,0.6981255969436484,0.7078796561604584,0.5087376631645972,0.5507587674530096,0.01401248437105096,0.03348342813467297,60641.349378835075,6976,4,62717620,589952,71307572,21.652679465793618,48000000,32.0,False,True
Native Faiss OPQMatrix + GPU IVF-PQ,native_opq_ivfpq,48.0,8.0,32.0,float16,1000000,1162.6647588019996,0.7339422158548232,0.7435530085959885,0.5308408946195479,0.5761940230113619,0.023480781237594783,0.031549412494769044,41289.19302400785,6976,4,62717620,589952,71307572,21.652679465793618,48000000,32.0,False,True
Native Faiss OPQMatrix + GPU IVF-PQ,native_opq_ivfpq,48.0,8.0,64.0,float16,1000000,1162.6647588019996,0.7609360076408788,0.770487106017192,0.5481605607859189,0.5957879484094629,0.04147359375394899,0.04439388750938633,24087.86862185817,6976,4,62717620,589952,71307572,21.652679465793618,48000000,32.0,True,True
