method,method_key,M,subvector_dimension,nprobe,lookup_table_precision,index_vectors,build_seconds,recall_at_10,success_at_10,mrr_at_10,ndcg_at_10,p50_ms_per_query,p95_ms_per_query,qps,timed_queries,tail_queries_excluded,serialized_index_bytes,external_transform_bytes,serialized_total_bytes,serialized_compression_x,analytical_code_bytes,analytical_code_compression_x,pareto_quality_storage,pareto_quality_qps
GPU FlatIP,flatip,,,,float32,1000000,2.5423685509995266,0.8562917860553965,0.8641833810888252,0.6370044799199528,0.6870256121886157,0.33894265624212494,0.36082158437125145,2926.787002938224,6976,4,1536000000,0,1544000000,1.0,1536000000,1.0,False,False
GPU IVF-PQ,ivfpq,32.0,12.0,4.0,float16,1000000,10.324065283999516,0.5607808022922636,0.5717765042979943,0.39563224860144636,0.43171283459126775,0.006525828126768829,0.007634265625711123,64509.21562650263,6976,4,46717620,0,54717620,28.217601569658914,32000000,48.0,False,False
GPU IVF-PQ,ivfpq,32.0,12.0,16.0,float16,1000000,10.324065283999516,0.6499641833810889,0.6613180515759313,0.45259215672897624,0.49631064082212856,0.01213454687842841,0.020132496868541235,74522.126329017,6976,4,46717620,0,54717620,28.217601569658914,32000000,48.0,False,False
GPU IVF-PQ,ivfpq,32.0,12.0,32.0,float16,1000000,10.324065283999516,0.6768982808022923,0.6878223495702006,0.46713899122208574,0.5139221288885006,0.01847470312554833,0.02040864061996217,53141.32332824357,6976,4,46717620,0,54717620,28.217601569658914,32000000,48.0,False,False
GPU IVF-PQ,ivfpq,32.0,12.0,64.0,float16,1000000,10.324065283999516,0.6957139446036295,0.7068767908309456,0.4776448583253741,0.5264136108020473,0.032076906251177206,0.03729972499968426,30404.227031481125,6976,4,46717620,0,54717620,28.217601569658914,32000000,48.0,True,False
GPU IVF-PQ,ivfpq,64.0,6.0,4.0,float16,1000000,12.89349168300032,0.5990687679083094,0.6091690544412608,0.44460232182653386,0.47821156458678554,0.007819078120974154,0.008809950006138932,116670.14119368797,6976,4,78717620,0,86717620,17.804916693977532,64000000,24.0,False,False
GPU IVF-PQ,ivfpq,64.0,6.0,16.0,float16,1000000,12.89349168300032,0.707712511938873,0.7177650429799427,0.5198745849820349,0.5613433876342399,0.014302124995424492,0.016533387500317076,68581.892704009,6976,4,78717620,0,86717620,17.804916693977532,64000000,24.0,False,True
GPU IVF-PQ,ivfpq,64.0,6.0,32.0,float16,1000000,12.89349168300032,0.74481852913085,0.7541547277936963,0.5434067289762131,0.5882858883631737,0.02539659374178882,0.027287890628713285,39633.919845257406,6976,4,78717620,0,86717620,17.804916693977532,64000000,24.0,False,False
GPU IVF-PQ,ivfpq,64.0,6.0,64.0,float16,1000000,12.89349168300032,0.7728868194842407,0.782378223495702,0.5623000523036339,0.6094012157557168,0.04658078124464282,0.04873926874893186,21628.41012968273,6976,4,78717620,0,86717620,17.804916693977532,64000000,24.0,True,True
GPU IVF-PQ,ivfpq,96.0,4.0,4.0,float16,1000000,17.756798379999964,0.6072588347659982,0.617191977077364,0.45805640833219635,0.4905752365636237,0.007752171882202674,0.009301915625314903,60196.18849085795,6976,4,110717620,0,118717620,13.005651562084887,96000000,16.0,False,False
GPU IVF-PQ,ivfpq,96.0,4.0,16.0,float16,1000000,17.756798379999964,0.7194603629417382,0.7287965616045845,0.5361274275708373,0.5769508182705254,0.020542968755421498,0.023651587500239653,47147.26504407061,6976,4,110717620,0,118717620,13.005651562084887,96000000,16.0,False,True
GPU IVF-PQ,ivfpq,96.0,4.0,32.0,float16,1000000,17.756798379999964,0.7595510983763132,0.7681948424068767,0.5618855460044572,0.6064309916475499,0.03716987500013147,0.03926423749476271,27327.661906190933,6976,4,110717620,0,118717620,13.005651562084887,96000000,16.0,False,False
GPU IVF-PQ,ivfpq,96.0,4.0,64.0,float16,1000000,17.756798379999964,0.7886938872970392,0.7972779369627507,0.5833564720061855,0.6296698068439014,0.0687129375052109,0.0723614468768119,14619.053983627291,6976,4,110717620,0,118717620,13.005651562084887,96000000,16.0,True,False
Native Faiss OPQMatrix + GPU IVF-PQ,native_opq_ivfpq,32.0,12.0,4.0,float16,1000000,863.0464335380002,0.571251193887297,0.5816618911174785,0.40984672761177054,0.44502961455454754,0.006222562490165728,0.007786393751985088,148233.98522122047,6976,4,46717620,589952,55307572,27.916611490376038,32000000,48.0,False,True
Native Faiss OPQMatrix + GPU IVF-PQ,native_opq_ivfpq,32.0,12.0,16.0,float16,1000000,863.0464335380002,0.6683858643744031,0.6790830945558739,0.47274173375176237,0.5161080295425369,0.011246124998365303,0.013254625002900866,86237.42433555868,6976,4,46717620,589952,55307572,27.916611490376038,32000000,48.0,False,True
Native Faiss OPQMatrix + GPU IVF-PQ,native_opq_ivfpq,32.0,12.0,32.0,float16,1000000,863.0464335380002,0.6991881566380134,0.7095988538681949,0.4915147587210624,0.5377475357113239,0.017630218749786764,0.01931501562921767,55933.581182627844,6976,4,46717620,589952,55307572,27.916611490376038,32000000,48.0,False,False
Native Faiss OPQMatrix + GPU IVF-PQ,native_opq_ivfpq,32.0,12.0,64.0,float16,1000000,863.0464335380002,0.7226361031518624,0.7332378223495702,0.5049055691999819,0.5534767803955818,0.029156875001490334,0.030991518750056457,34112.80272526427,6976,4,46717620,589952,55307572,27.916611490376038,32000000,48.0,True,False
Native Faiss OPQMatrix + GPU IVF-PQ,native_opq_ivfpq,64.0,6.0,4.0,float16,1000000,1575.319611586,0.5982927411652341,0.6085959885386819,0.44440521671897026,0.4779282585070198,0.006943812508097835,0.008599378116969092,136660.3226396426,6976,4,78717620,589952,87307572,17.684605866716808,64000000,24.0,False,True
Native Faiss OPQMatrix + GPU IVF-PQ,native_opq_ivfpq,64.0,6.0,16.0,float16,1000000,1575.319611586,0.7085601719197707,0.7186246418338109,0.5208371424023286,0.5625483485230695,0.014873890620492602,0.016924471884749437,65545.52869090787,6976,4,78717620,589952,87307572,17.684605866716808,64000000,24.0,False,True
Native Faiss OPQMatrix + GPU IVF-PQ,native_opq_ivfpq,64.0,6.0,32.0,float16,1000000,1575.319611586,0.7465019102196753,0.7558739255014326,0.5462537522172193,0.591094266294478,0.025159406249031235,0.026345590623577664,39831.6025368161,6976,4,78717620,589952,87307572,17.684605866716808,64000000,24.0,False,True
Native Faiss OPQMatrix + GPU IVF-PQ,native_opq_ivfpq,64.0,6.0,64.0,float16,1000000,1575.319611586,0.7751790830945559,0.7842406876790831,0.5654680606722154,0.6125800590856508,0.04627028124559729,0.050121334362529524,21511.954591683523,6976,4,78717620,589952,87307572,17.684605866716808,64000000,24.0,True,True
Native Faiss OPQMatrix + GPU IVF-PQ,native_opq_ivfpq,96.0,4.0,4.0,float16,1000000,2168.7220140240006,0.605826170009551,0.6153295128939829,0.4572661686451084,0.4894519196961576,0.007785296887163895,0.010061062494060025,116705.01265096552,6976,4,110717620,589952,119307572,12.941341225182255,96000000,16.0,False,True
Native Faiss OPQMatrix + GPU IVF-PQ,native_opq_ivfpq,96.0,4.0,16.0,float16,1000000,2168.7220140240006,0.719269340974212,0.7287965616045845,0.5359470368854323,0.5766388172377709,0.02022909374943538,0.021877746871723502,49429.40357441076,6976,4,110717620,589952,119307572,12.941341225182255,96000000,16.0,False,True
Native Faiss OPQMatrix + GPU IVF-PQ,native_opq_ivfpq,96.0,4.0,32.0,float16,1000000,2168.7220140240006,0.7592168099331422,0.7679083094555874,0.5623135830263337,0.606531455604763,0.03639104687636063,0.038437946884073426,27648.308004444036,6976,4,110717620,589952,119307572,12.941341225182255,96000000,16.0,False,True
Native Faiss OPQMatrix + GPU IVF-PQ,native_opq_ivfpq,96.0,4.0,64.0,float16,1000000,2168.7220140240006,0.7894699140401146,0.7979942693409742,0.584207315686542,0.6304457263075037,0.06859475000453585,0.07169319999889012,14711.715364658805,6976,4,110717620,589952,119307572,12.941341225182255,96000000,16.0,True,True
