Ablation,Value,Basis,Top-B,Recall@10,Success@10,MRR@10,nDCG@10,Recall gain
alpha,0.0,none,0,0.66275,0.674,0.4658797619047619,0.5099139792095526,0.0
alpha,0.25,score_error_weighted,40,0.67975,0.691,0.4765071428571428,0.5219652297078405,0.017
alpha,0.5,score_error_weighted,40,0.6919166666666667,0.702,0.4787968253968254,0.526854788476989,0.0291666666666667
alpha,0.75,score_error_weighted,40,0.6999166666666667,0.71,0.4844964285714285,0.532512862288887,0.0371666666666667
alpha,1.0,score_error_weighted,40,0.6979166666666667,0.708,0.4804753968253968,0.5290792880050518,0.0351666666666667
alpha,1.25,score_error_weighted,40,0.69525,0.706,0.4739674603174603,0.523604936516848,0.0325
alpha,1.5,score_error_weighted,40,0.6900833333333334,0.7,0.4635186507936507,0.5147175134753468,0.0273333333333334
alpha,1.75,score_error_weighted,40,0.6820833333333334,0.693,0.4537369047619047,0.5050223669018572,0.0193333333333334
alpha,2.0,score_error_weighted,40,0.67775,0.689,0.4450976190476191,0.4971313256298548,0.015
Top-B (RARS score-error basis),0.0,none,0,0.66275,0.674,0.4658797619047619,0.5099139792095526,0.0
Top-B (RARS score-error basis),5.0,score_error_weighted,5,0.66475,0.676,0.4776261904761905,0.5193884614709406,0.002
Top-B (RARS score-error basis),10.0,score_error_weighted,10,0.6749166666666667,0.686,0.4802603174603174,0.5237367716740661,0.0121666666666667
Top-B (RARS score-error basis),20.0,score_error_weighted,20,0.6989166666666667,0.709,0.4845460317460318,0.5323589948263593,0.0361666666666667
Top-B (RARS score-error basis),40.0,score_error_weighted,40,0.6999166666666667,0.71,0.4844964285714285,0.532512862288887,0.0371666666666667
Top-B (RARS score-error basis),60.0,score_error_weighted,60,0.6989166666666667,0.709,0.4843488095238095,0.5321780497550196,0.0361666666666667
Top-B (RARS score-error basis),80.0,score_error_weighted,80,0.6989166666666667,0.709,0.4843488095238095,0.5321780497550196,0.0361666666666667
Top-B (RARS score-error basis),100.0,score_error_weighted,100,0.6989166666666667,0.709,0.4843488095238095,0.5321780497550196,0.0361666666666667
