Setting,Dataset,Embedding model,Selection,Method,Alpha,Top-B,Queries,Recall@10,Success@10,MRR@10,nDCG@10,Recall gain vs base
msmarco_1m_bge_small,MS MARCO,BAAI/bge-small-en-v1.5,final held-out,Base M32,0.0,0,1000,0.66275,0.674,0.4658797619047619,0.5099139792095526,0.0
msmarco_1m_bge_small,MS MARCO,BAAI/bge-small-en-v1.5,final held-out,PCA Top40,1.0,40,1000,0.6914166666666668,0.701,0.479193253968254,0.527499023206698,0.02866666666666684
msmarco_1m_bge_small,MS MARCO,BAAI/bge-small-en-v1.5,final held-out,RARS Top40,0.75,40,1000,0.6999166666666667,0.71,0.4844964285714285,0.532512862288887,0.03716666666666679
fiqa_bge_small,FiQA,BAAI/bge-small-en-v1.5,fixed transfer,Base M32,0.0,0,648,0.2935094997594997,0.4783950617283951,0.2963563100137174,0.2373098077270361,0.0
fiqa_bge_small,FiQA,BAAI/bge-small-en-v1.5,fixed transfer,PCA Top40,1.0,40,648,0.3281624839495209,0.5231481481481481,0.3180776014109347,0.260042900551136,0.03465298419002122
fiqa_bge_small,FiQA,BAAI/bge-small-en-v1.5,fixed transfer,RARS Top20,1.0,20,648,0.3184346560503968,0.5061728395061729,0.3180347344699196,0.2559419767346976,0.024925156290897088
fiqa_bge_small,FiQA,BAAI/bge-small-en-v1.5,fixed transfer,RARS Top40,1.0,40,648,0.3234514071319627,0.5200617283950617,0.3220170732902214,0.2587250266267262,0.029941907372462995
fiqa_minilm,FiQA,all-MiniLM-L6-v2,fixed transfer,Base M32,0.0,0,648,0.3445982044361674,0.5493827160493827,0.3602911277679796,0.28622090403302,0.0
fiqa_minilm,FiQA,all-MiniLM-L6-v2,fixed transfer,PCA Top40,1.0,40,648,0.3388669886355071,0.5432098765432098,0.3468670389966686,0.2795050743988974,-0.005731215800660272
fiqa_minilm,FiQA,all-MiniLM-L6-v2,fixed transfer,RARS Top20,1.0,20,648,0.3427550201855757,0.5478395061728395,0.3489515970997452,0.278940524912077,-0.0018431842505917118
fiqa_minilm,FiQA,all-MiniLM-L6-v2,fixed transfer,RARS Top40,1.0,40,648,0.3440153082514193,0.5493827160493827,0.3488842347638644,0.2795006462513529,-0.0005828961847481051
fiqa_minilm,FiQA,all-MiniLM-L6-v2,proxy-selected,RARS Top20,0.75,20,648,0.3462063271091048,0.5540123456790124,0.3578281158142269,0.2844875126294958,0.0016081226729374176
fiqa_minilm,FiQA,all-MiniLM-L6-v2,proxy-selected,RARS Top40,0.75,40,648,0.3501653953042841,0.5540123456790124,0.3577191113070743,0.285708813810399,0.005567190868116689
