selection,target_depth,folds,features_selected,recall_at_10_mean,recall_at_10_std,success_at_10_mean,success_at_10_std,mrr_at_10_mean,mrr_at_10_std,ndcg_at_10_mean,ndcg_at_10_std,avg_corrected_candidates_mean,avg_corrected_candidates_std,correction_rate_mean,correction_rate_std,recall_loss_vs_always_top20_mean,recall_loss_vs_always_top40_mean
always_top0,0.0,5,fold0:none:none:th=nan;fold1:none:none:th=nan;fold2:none:none:th=nan;fold3:none:none:th=nan;fold4:none:none:th=nan,0.66275,0.008757932911874138,0.674,0.015572411502397404,0.46587976190476194,0.01352475393062104,0.5099139792095526,0.009648181936931843,0.0,0.0,0.0,0.0,0.03616666666666668,0.03716666666666668
always_top20,20.0,5,fold0:none:none:th=nan;fold1:none:none:th=nan;fold2:none:none:th=nan;fold3:none:none:th=nan;fold4:none:none:th=nan,0.6989166666666666,0.021375446713980565,0.709,0.01635542723379614,0.4845460317460318,0.010937912015779264,0.5323589948263593,0.011037763426547666,20.0,0.0,1.0,0.0,0.0,0.0010000000000000009
always_top40,40.0,5,fold0:none:none:th=nan;fold1:none:none:th=nan;fold2:none:none:th=nan;fold3:none:none:th=nan;fold4:none:none:th=nan,0.6999166666666666,0.01936581323420792,0.71,0.01581138830084191,0.4844964285714286,0.011388044601192521,0.532512862288887,0.011651180769535968,40.0,0.0,1.0,0.0,-0.0010000000000000009,0.0
best_train_recall,20.0,5,fold0:margin_10_20:high_uses_correction:th=0.004781499195098877;fold1:margin_10_20:high_uses_correction:th=0.004276628494262695;fold2:margin_10_20:high_uses_correction:th=0.0043592298030853275;fold3:margin_10_20:high_uses_correction:th=0.00433925986289978;fold4:margin_1_2:low_uses_correction:th=0.04058274149894711,0.6979166666666667,0.021282654648536896,0.708,0.016431676725154998,0.4840460317460318,0.011256487956586658,0.5317409281321084,0.011364828100309154,19.380000000000003,0.5167204273105526,0.969,0.025836021365527605,0.0009999999999998899,0.0019999999999998908
best_train_recall,40.0,5,fold0:margin_10_20:high_uses_correction:th=0.004781499195098877;fold1:margin_10_20:high_uses_correction:th=0.004276628494262695;fold2:margin_10_20:high_uses_correction:th=0.0043592298030853275;fold3:margin_10_20:high_uses_correction:th=0.00433925986289978;fold4:margin_1_2:low_uses_correction:th=0.02928418040275574,0.6989166666666666,0.019002010127586216,0.709,0.015572411502397451,0.4839130952380953,0.011662547897568898,0.5318203262236706,0.01194541326412384,38.24,2.1697926168184836,0.9560000000000001,0.05424481542046207,0.0,0.0010000000000000009
cheapest_within_0p001_train_recall,20.0,5,fold0:margin_1_5:low_uses_correction:th=0.04179203915596008;fold1:margin_1_5:low_uses_correction:th=0.06085124645233153;fold2:margin_1_2:low_uses_correction:th=0.03849584031105035;fold3:margin_1_2:low_uses_correction:th=0.01605340452194214;fold4:margin_1_2:low_uses_correction:th=0.02928418040275574,0.6944166666666667,0.0148651344501899,0.704,0.008944271909999166,0.481490873015873,0.009795816934562928,0.5289243110497277,0.00851585710667184,15.319999999999999,2.6892378102354573,0.766,0.13446189051177287,0.0044999999999999485,0.005499999999999949
cheapest_within_0p001_train_recall,40.0,5,fold0:margin_1_10:low_uses_correction:th=0.050329481029510494;fold1:margin_1_5:low_uses_correction:th=0.04321570243835449;fold2:margin_1_5:low_uses_correction:th=0.060653301143646234;fold3:margin_1_2:low_uses_correction:th=0.01605340452194214;fold4:margin_1_5:low_uses_correction:th=0.04183009252548218,0.6949166666666666,0.012459657120304534,0.7049999999999998,0.009354143466934861,0.4818876984126984,0.010663586746952244,0.5292044320053031,0.010324010984964039,27.560000000000002,4.2600469480981085,0.689,0.10650117370245268,0.0040000000000000036,0.0050000000000000044
cheapest_within_0p002_train_recall,20.0,5,fold0:margin_1_10:low_uses_correction:th=0.050329481029510494;fold1:margin_1_5:low_uses_correction:th=0.04321570243835449;fold2:margin_1_5:low_uses_correction:th=0.060653301143646234;fold3:margin_1_5:low_uses_correction:th=0.03208155870437622;fold4:margin_1_5:low_uses_correction:th=0.04183009252548218,0.6919166666666667,0.013525952420768353,0.702,0.007582875444051558,0.4821357142857143,0.010755701900761952,0.5286560780315951,0.009809376849491345,13.2,2.94193813667113,0.6599999999999999,0.14709690683355647,0.006999999999999895,0.007999999999999896
cheapest_within_0p002_train_recall,40.0,5,fold0:margin_1_10:low_uses_correction:th=0.050329481029510494;fold1:margin_1_5:low_uses_correction:th=0.04137773666381836;fold2:margin_1_5:low_uses_correction:th=0.04276839437484741;fold3:margin_1_2:low_uses_correction:th=0.015170485782623285;fold4:margin_1_2:low_uses_correction:th=0.01588354821205139,0.6939166666666667,0.013015749007345756,0.7049999999999998,0.009354143466934861,0.4817138888888889,0.008700754436009097,0.5289386473434207,0.00864358279942609,25.52,2.1194338866782343,0.6380000000000001,0.052985847166955834,0.004999999999999893,0.005999999999999894
cheapest_within_0p005_train_recall,20.0,5,fold0:margin_1_5:low_uses_correction:th=0.03610136342048645;fold1:margin_1_5:low_uses_correction:th=0.03989387650489807;fold2:margin_1_5:low_uses_correction:th=0.04124229049682617;fold3:margin_1_5:low_uses_correction:th=0.02342544059753418;fold4:margin_1_5:low_uses_correction:th=0.038988590812683105,0.6879166666666667,0.01149426185344479,0.698,0.007582875444051557,0.4805496031746032,0.007428153022489698,0.5267827349689913,0.006306899096978989,11.620000000000001,2.858671019897183,0.5810000000000001,0.14293355099485916,0.010999999999999899,0.0119999999999999
