feature,importance
corr_top40_max_abs,0.04891383051698837
score_top20_std,0.037310325672603686
score_top40_range,0.03530541762518252
query_l1_norm,0.035261761260053016
score_top100_range,0.032891638930796885
score_top20_range,0.03227857139612843
score_top20_entropy,0.031501241994040266
query_dim_std,0.031390060870701994
gap_s1_s10,0.030855800470898632
corr_top40_std,0.03015132784502886
gap_s1_s2,0.029346627334823402
score_top10_range,0.029250529799694034
gap_s5_s10,0.026068275366725093
score_top10_std,0.024679992909649884
gap_s1_s5,0.02453539518789541
gap_s20_s40,0.02366320781277357
score_top10_entropy,0.023250308639022377
score_top100_std,0.02186792494600018
score_top100_entropy,0.021636739116157017
score_top40_mean,0.02143976623034427
score_top40_entropy,0.019910575412189088
score_top100_mean,0.019603594225377365
corr_top20_mean_abs,0.01902523126723924
cross_count_top20_over_base_top10,0.01884983494175953
score_top20_mean,0.018395357439867473
corr_top10_max_abs,0.018078136627667222
corr_top10_mean_abs,0.018049732103609335
corr_top20_std,0.016718233058999624
score_top40_std,0.016678901825252702
base_margin_10_40,0.01655049192307106
