strategy,queries,recall@10,success@10,mrr@10,ndcg@10,avg_corrected_candidates,recall_per_corrected_candidate
oracle_cheapest_best_recall_top0_20_40,1000,0.71025,0.72,0.47309285714285715,0.5262371416391636,1.1,0.6456818181818181
always_top40,1000,0.6999166666666667,0.71,0.48449642857142855,0.532512862288887,40.0,0.01749791666666667
always_top20,1000,0.6989166666666667,0.709,0.4845460317460318,0.5323589948263593,20.0,0.034945833333333336
offline_exact_proxy_features:logreg_balanced,1000,0.68125,0.692,0.4718099206349206,0.518474003686022,4.56,0.14939692982456143
deployable_features:logreg_balanced,1000,0.6774166666666668,0.687,0.4759781746031746,0.5213591978733995,5.94,0.11404320987654322
always_top0,1000,0.66275,0.674,0.4658797619047619,0.5099139792095526,0.0,0.66275
deployable_features:hist_gradient_boosting,1000,0.66275,0.674,0.4658797619047619,0.5099139792095526,0.02,0.66275
offline_exact_proxy_features:hist_gradient_boosting,1000,0.66275,0.674,0.4658797619047619,0.5099139792095526,0.02,0.66275
deployable_features:random_forest_balanced,1000,0.66275,0.674,0.46712579365079365,0.5108986902899514,0.7,0.66275
offline_exact_proxy_features:random_forest_balanced,1000,0.66175,0.673,0.46735198412698414,0.5108142101245319,0.38,0.66175
